호선,역명,요일,비율
4,수유(강북구청),수,1.1028874905157846
4,수유(강북구청),월,1.0656346652633522
4,수유(강북구청),일,0.6337511963714655
4,수유(강북구청),토,0.866979423767605
4,수유(강북구청),화,1.0947120594003203
4,숙대입구(갈월),금,1.123277683208034
4,숙대입구(갈월),목,1.131179235875647
4,숙대입구(갈월),수,1.1441507327465985
4,숙대입구(갈월),월,1.0721222535994248
4,숙대입구(갈월),일,0.581366131069738
4,숙대입구(갈월),토,0.8207477511011323
4,숙대입구(갈월),화,1.127156212399426
4,신용산,금,1.1736448487835685
4,신용산,목,1.1359387912633598
4,신용산,수,1.1480973889197503
4,신용산,월,1.0807080634509385
4,신용산,일,0.5570306981808227
4,신용산,토,0.776587514089719
4,신용산,화,1.127992695311841
4,쌍문,금,1.1373428339271725
4,쌍문,목,1.1172872312719646
4,쌍문,수,1.12564710935015
4,쌍문,월,1.0899918646651223
4,쌍문,일,0.589821977174609
4,쌍문,토,0.8255382836278996
4,쌍문,화,1.114370699983082
4,이촌(국립중앙박물관),금,1.0898425438910724
4,이촌(국립중앙박물관),목,1.0366574413100027
4,이촌(국립중앙박물관),수,1.0940686440799197
4,이촌(국립중앙박물관),월,0.9612512512067052
4,이촌(국립중앙박물관),일,0.7153953418932264
4,이촌(국립중앙박물관),토,1.0612862864834725
4,이촌(국립중앙박물관),화,1.041498491135602
4,창동,금,1.1478373189625783
4,창동,목,1.0980013820386796
4,창동,수,1.1074148727330095
4,창동,월,1.063903978202075
4,창동,일,0.6285210488723748
4,창동,토,0.859269709106727
4,창동,화,1.095051690084555
4,총신대입구(이수),금,1.1598485639268947
4,총신대입구(이수),목,1.1106126815896389
4,총신대입구(이수),수,1.1269687429762765
4,총신대입구(이수),월,1.0749869221886434
4,총신대입구(이수),일,0.5755577484690292
4,총신대입구(이수),토,0.8416818046355683
4,총신대입구(이수),화,1.11034353621395
4,충무로,금,1.1988232436902948
4,충무로,목,1.2302408320168072
4,충무로,수,1.221774785363712
4,충무로,월,1.1687871767284284
4,충무로,일,0.3675704389236928
4,충무로,토,0.5984563433763438
4,충무로,화,1.214347179900721
4,한성대입구(삼선교),금,1.1402352241787044
4,한성대입구(삼선교),목,1.111890937748601
4,한성대입구(삼선교),수,1.125043121570355
4,한성대입구(삼선교),월,1.0499797735016088
4,한성대입구(삼선교),일,0.602305971136339
4,한성대입구(삼선교),토,0.8603857040181441
4,한성대입구(삼선교),화,1.1101592678462486
4,혜화,금,1.1361808687492418
