STATN_NM,호선이름
신원,경의중앙선(1호선)
국수,경의중앙선(1호선)
아신,경의중앙선(1호선)
오빈,경의중앙선(1호선)
양평,경의중앙선(1호선)
원덕,경의중앙선(1호선)
용문,경의중앙선(1호선)
지평,경의중앙선(1호선)
공덕,경의중앙선(1호선)
서강대,경의중앙선(1호선)
홍대입구,경의중앙선(1호선)
가좌,경의중앙선(1호선)
디지털미디어시티,경의중앙선(1호선)
수색,경의중앙선(1호선)
화전,경의중앙선(1호선)
강매,경의중앙선(1호선)
행신,경의중앙선(1호선)
능곡,경의중앙선(1호선)
대곡,경의중앙선(1호선)
곡산,경의중앙선(1호선)
백마,경의중앙선(1호선)
풍산,경의중앙선(1호선)
일산,경의중앙선(1호선)
탄현,경의중앙선(1호선)
야당,경의중앙선(1호선)
운정,경의중앙선(1호선)
금릉,경의중앙선(1호선)
금촌,경의중앙선(1호선)
월롱,경의중앙선(1호선)
파주,경의중앙선(1호선)
문산,경의중앙선(1호선)
효창공원앞,경의중앙선(1호선)
신촌(경의중앙선),경의중앙선(1호선)
서울,경의중앙선(1호선)
서울,공항철도
공덕,공항철도
홍대입구,공항철도
디지털미디어시티,공항철도
김포공항,공항철도
계양,공항철도
검암,공항철도
운서,공항철도
공항화물청사,공항철도
인천공항1터미널,공항철도
인천공항2터미널,공항철도
마곡나루,공항철도
청라국제도시,공항철도
영종,공항철도
청량리,경춘선(1호선)
회기,경춘선(1호선)
중랑,경춘선(1호선)
광운대,경춘선(1호선)
상봉,경춘선(1호선)
망우,경춘선(1호선)
신내,경춘선(1호선)
갈매,경춘선(1호선)
별내,경춘선(1호선)
퇴계원,경춘선(1호선)
사릉,경춘선(1호선)
금곡,경춘선(1호선)
평내호평,경춘선(1호선)
천마산,경춘선(1호선)
마석,경춘선(1호선)
대성리,경춘선(1호선)
청평,경춘선(1호선)
상천,경춘선(1호선)
가평,경춘선(1호선)
굴봉산,경춘선(1호선)
백양리,경춘선(1호선)
강촌,경춘선(1호선)
김유정,경춘선(1호선)
남춘천,경춘선(1호선)
춘천,경춘선(1호선)
청량리,수인분당선
왕십리,수인분당선
서울숲,수인분당선
압구정로데오,수인분당선
강남구청,수인분당선
선정릉,수인분당선
선릉,수인분당선
한티,수인분당선
도곡,수인분당선
구룡,수인분당선
개포동,수인분당선
대모산입구,수인분당선
수서,수인분당선
복정,수인분당선
가천대,수인분당선
태평,수인분당선
모란,수인분당선
야탑,수인분당선
이매,수인분당선
서현,수인분당선
수내,수인분당선
정자,수인분당선
미금,수인분당선
오리,수인분당선
죽전,수인분당선
보정,수인분당선
구성,수인분당선
신갈,수인분당선
기흥,수인분당선
상갈,수인분당선
청명,수인분당선
영통,수인분당선
망포,수인분당선
매탄권선,수인분당선
수원시청,수인분당선
매교,수인분당선
수원,수인분당선
고색,수인분당선
오목천,수인분당선
어천,수인분당선
야목,수인분당선
사리,수인분당선
한대앞,수인분당선
중앙,수인분당선
고잔,수인분당선
초지,수인분당선
안산,수인분당선
신길온천,수인분당선
정왕,수인분당선
오이도,수인분당선
달월,수인분당선
월곶,수인분당선
소래포구,수인분당선
인천논현,수인분당선
호구포,수인분당선
남동인더스파크,수인분당선
원인재,수인분당선
연수,수인분당선
송도,수인분당선
인하대,수인분당선
숭의,수인분당선
신포,수인분당선
인천,수인분당선
신사,신분당선
논현,신분당선
신논현,신분당선
강남,신분당선
양재,신분당선
양재시민의숲,신분당선
