노선번호,노선명
8003,8003번(평창동주민센터~평창동주민센터)
8101,8101번(도봉보건소~서소문)
8146,8146번(상계주공7단지~강남역)
8221,8221번(장안2동주민센터~답십리역)
8331,8331번(마천사거리~잠실역)
8441,8441번(은곡마을.LH이편한세상~수서역)
8541,8541번(호압사~강남역)
8551,8551번(봉천역~노량진역)
8552,8552번(신림복지관~신림역)
8561,8561번(신림동~여의도환승센터)
8641,8641번(구로동~개포동)
8701,8701번(은평뉴타운~서소문)
8762,8762번(디지털미디어시티역~가양역.마포중고등학교)
8771,8771번(구산중학교~녹번역)
8772,"8772번(휴일,구파발~대서문입구)"
8773,8773번(홍대입구역~녹번역)
8773,8773번(녹번역~홍대입구역)
8774,8774번(구산동~서대문구청)
8777,8777번(난지한강공원~월드컵경기장남측)
9401,9401번(구미동~서울역)
9401-1,9401-1번(이매촌한신.서현역.AK프라자~순천향대학병원)
9403,9403번(구미동차고지~중곡역)
9404,9404번(분당구미~신사역)
9408,9408번(구미동차고지~고속터미널)
9409,9409번(구미동차고지~신사역)
9701,9701번(가좌동~서울역)
9707,9707번(고양 가좌동~영등포역)
9711,9711번(일산동부경찰서~양재역)
9714,9714번(교하운정~서울역)
N13,N13번(송파공영차고지~상계동차고지)
N13,N13번(상계동차고지~송파공영차고지)
N15,N15번(남태령역~우이동도선사입구)
N15,N15번(우이동성원아파트~남태령역)
N16,N16번(도봉산공영차고지~온수동차고지)
N16,N16번(온수동차고지~도봉산공영차고지)
N26,N26번(중랑공영차고지~강서공영차고지)
N26,N26번(강서공영차고지~중랑공영차고지)
N30,N30(강동공영차고지~서울역환승센터)
N31,N31정릉 (국민대~강동공영차고지)
N31,N31강동 (강동공영차고지~국민대)
N37,N37번(진관공영차고지~송파공영차고지)
N37,N37번(송파공영차고지~진관공영차고지)
N51,N51번(시흥동차고지~하계동차고지)
N51,N51번(하계동차고지~시흥동차고지)
N61,N61번(상계동차고지~양천공영차고지)
N61,N61번(양천공영차고지~상계동차고지)
N62,N62번(면목동차고지~양천공영차고지)
N62,N62번(양천공영차고지~면목동차고지)
N64,N64번(염곡공영차고지~강서공영차고지)
N64,N64번(강서공영차고지~염곡공영차고지)
N72,N72중랑 (중랑공영차고지~은평공영차고지)
N72,N72은평 (은평공영차고지~중랑공영차고지)
N73,N73송파 (송파공영차고지~구산동차고지)
N73,N73구산 (구산동차고지~송파공영차고지)
N75,N75번(신림2동차고지~진관공영차고지)
N75,N75번(진관공영차고지~신림2동차고지)
강남01,강남01(일원동한솔아파트~코엑스)
강남02,강남02(강남구민체육관~양재역)
강남03,강남03(강남데시앙포레정문~은곡마을)
강남05,강남05(구룡마을~석촌역)
강남06,강남06(세곡LH푸르지오아파트~코엑스)
강남06-1,강남06-1(세곡리엔파크~수서역)
강남06-2,강남06-2(세곡리엔파크~수서역)
강남07,강남07(서울의료원강남분원~양재역)
강남08,강남08(신사역~삼성역)
강남10,강남10(개포4단지7단지~양재역)
강동01,강동01(명일동한양아파트~강변역)
강동02,강동02(가래여울~암사동서원마을)
강동05,강동05(강동공영차고지~천호역)
강북01,강북01(아카데미하우스.통일교육원~수유역)
강북02,강북02(본원정사~수유역)
강북03,강북03(빨래골~수유역)
강북04,강북04(연일슈퍼~수유시장)
강북05,강북05(번동초등학교~한일아파트)
강북06,강북06(강북보건소~미아사거리역)
강북08,강북08(두산위브아파트~현대백화점)
강북09,강북09(미아사거리~수유역)
강북10,강북10(솔샘터널~미아역)
강북11,강북11(미아사거리~수유역)
강북12,강북12(삼각산119안전센터~현대백화점)
강서01,강서01(약수터~등촌역)
강서02,강서02(화곡동남부시장~하이웨이주유소)
강서03,강서03(약수터~한광고등학교)
강서04,강서04(염창역~경복여고)
강서05,강서05(강서농수산물도매시장~발산역)
강서05-1,강서05-1(다솔마을~마곡나루역)
강서06,강서06(벽산아파트~수명산입구)
강서07,강서07(생태공원~마곡역)
관악01,관악01(봉천역~숭실대)
관악02,관악02(낙성대역~서울대신공학관)
관악03,관악03(국사봉~신림역)
관악04,관악04(인헌동군인아파트~사랑의병원)
관악05,관악05(신림2동현대아파트~신림역)
관악06,관악06(신림3동보명사~신대방역)
관악07,관악07(청림동푸르지오아파트~서울대입구역)
관악08,관악08(난향동공영차고지~신림역)
관악10,관악10(아카시아마을.민방위교육장~신림역)
관악11,관악11(봉천역~재넘이고개)
광진01,광진01(광진정보도서관~워커힐아파트)
광진02,광진02(긴고랑~군자역)
광진03,광진03(중곡119안전센터~강변역)
광진04,광진04(중곡아파트~강변역)
광진05,광진05(신자초등학교~강변역)
구로01,구로01(개봉역~금옥여고)
구로02,구로02(개봉역~개봉중학교)
구로03,구로03(개봉한진아파트~개봉역)
구로04,구로04(천왕이펜하우스5단지입구~개봉역)
구로05,구로05(오류중학교~개봉역)
구로06,구로06(개봉역~센츄리아파트)
구로07,구로07(오류동역~항동지구)
구로08,구로08(개봉역~오류1동주민센터)
구로09,구로09(동아아파트~구로디지털단지역)
구로10,구로10(대림역~중앙하이츠)
구로11,구로11(대림역~개봉역)
구로12,구로12(개봉역~거성아파트)
구로13,구로13(구로1동주민센터~구로중학교)
구로14,구로14(천왕이펜하우스5단지입구~온수역)
구로15,구로15(오류동역~서울남부교정시설)
금천01,금천01(청.독산역~벽산아파트)
금천02,금천02(벽산3단지~안천중학교)
금천03,금천03(가산디지털단지역~구로디지털단지역)
금천04,금천04(성채안로입구삼거리~금천구청역)
금천05,금천05(독산한신아파트~가산디지털단지역)
금천06,금천06(시흥1동공영주차장~구로디지털단지역)
금천07,금천07(시흥1동공영주차장~구로디지털단지역)
금천08,금천08(난곡중학교~금천구청역)
금천11,금천11(산기슭공원~석수역)
노원01,노원01(보람사거리~상계역)
노원02,노원02(수락리버시티아파트단지~노원구청)
노원03,노원03(석계역~하계역)
노원05,노원05(온곡초등학교~창동역)
노원08,노원08(상계8동주민센터~창동역)
노원09,노원09(서울특별시북부기술교육원~삼창아파트)
노원11,노원11(수락현대아파트~상계역)
노원13,노원13(석계역~서울과학기술대학교)
노원14,노원14(청백1단지아파트~세그루학원)
노원15,노원15(청백1단지아파트~덕성여자대학교)
도봉01,도봉01(법종사~창동역)
도봉02,도봉02(우이동도선사입구~수유역)
도봉03,도봉03(꽃동네~수유역)
도봉04,도봉04(동익아파트~수유역)
도봉05,도봉05(한일병원~우이동도선사입구)
도봉06,도봉06(한일병원~방학동벽산아파트)
도봉07,도봉07(도봉여성센터~창2동건영아파트)
도봉08,도봉08(창동역~무수골)
도봉09,도봉09(창동역~도봉산역)
동대문01,동대문01(회기역~경희대)
동대문02,동대문02(회기역~외대)
동대문03,동대문03(서울가든아파트~회기역)
동대문05,동대문05(답십리역~영휘원사거리)
동작01,동작01(달마사~대방역)
동작02,동작02(사자암~노량진역)
동작03,동작03(신대방삼거리역~노들역)
동작05,동작05(대방역~신대방역)
동작05-1,동작05-1(대방역~신대방역)
동작06,동작06(이수역~사랑의병원)
동작07,동작07(삼성래미안.롯데캐슬~갯마을)
동작08,동작08(행복유치원~대방역)
동작09,동작09(사당대림아파트~사당역)
동작10,동작10(노들역~상도역)
동작11,동작11(사자암~노량진역)
동작12,동작12(상도4동성문교회~대방역)
동작13,동작13(봉천고개관악현대아파트~대방역)
동작14,동작14(동양아파트~사랑의병원)
동작15,동작15(자이아파트~이수역)
동작16,동작16(삼성래미안.롯데캐슬~사당역)
동작17,동작17(극동아파트~이수힐스테이트)
동작18,동작18(극동아파트~사당역)
동작19,동작19(사자암~동작우체국)
동작20,동작20(자이아파트~낙성대역)
동작21,동작21(달마사~상도역)
마포01,마포01(산천동리버힐삼성아파트~용문시장)
마포02,마포02(청암대~공덕역)
마포03,마포03(아현역~만리동고개)
마포05,마포05(홍대입구역~연남동주민센터)
마포06,마포06(홍대입구역~남가좌동아이파크아파트)
마포07,마포07(양화진성지~현대백화점)
마포08,마포08(서부운전면허시험장~신촌전철역)
마포09,마포09(망원유수지~신촌전철역)
마포10,마포10(신촌전철역~공덕역)
마포11,마포11(신촌전철역~마포역)
마포12,마포12(신촌전철역~마포역)
마포13,마포13(창전중앙하이츠아파트~신촌전철역)
마포14,마포14(창전삼성아파트~신촌전철역)
마포15,마포15(서부운전면허시험장~홍대입구역)
마포16,마포16(망원동~홍대정문)
마포17,마포17(공덕시장~효창공원앞역)
마포18,마포18(상암월드컵파크6.7단지~디지털미디어시티역)
마포18-1,마포18-1(상암월드컵파크6.7단지~디지털미디어시티역)
서대문01,서대문01(삼성빌라~홍제삼거리)
서대문02,서대문02(독립문역.천연뜨란채아파트~독립문극동아파트)
서대문02,서대문02(서대문역.천연뜨란채아파트~서대문역)
서대문03,서대문03(홍은2동주민센터~신촌역)
서대문04,서대문04(궁동근린공원~신촌역)
서대문05,서대문05(북아현삼거리~연세대학교)
서대문06,서대문06(북아현두산아파트~청파동삼일교회)
서대문07,서대문07(개미마을~홍제역)
서대문08,서대문08(상명대학교~홍제역)
서대문09,서대문09(가산빌라~홍제역)
서대문09,서대문09(풍진베이스타운.안산자락길입구~홍제역)
서대문10,서대문10(백련사~홍제역)
서대문11,서대문11(홍은동국민주택~봉원사입구)
서대문12,서대문12(동원베네스트아파트~홍제역)
서대문13,서대문13(홍은동국민주택~홍제원현대아파트)
서대문14,서대문14(정원여중~홍제역)
서대문15,서대문15(증산역~명지대후문)
서초01,서초01(잠원역~반포고등학교)
서초02,서초02(교대역~서울고등학교)
서초03,서초03(교대역~신사역)
서초05,서초05(정금마을~세탁소)
서초06,서초06(정금마을~동덕여고)
서초07,서초07(내방역~임광아파트)
서초08,서초08(서울추모공원~양재역)
서초09,서초09(헌인가구단지~강남역)
서초10,서초10(서초구민체육센터~강남역)
서초11,서초11(예술의전당~반포1동성당)
서초13,서초13(이수역~동덕여고)
서초14,서초14(이수역~고속터미널)
서초15,서초15(롯데캐슬헤론아파트~사당역)
서초16,서초16(정금마을~방배역)
서초17,서초17(사당역~서초구청)
서초18,서초18(선바위역~매헌초등학교)
서초18-1,서초18-1(서초LH5단지~양재역)
서초20,서초20(서초더샵포레아파트~양재역)
서초21,서초21(한국소비자원~서초구민체육센터)
서초22,서초22(남부터미널~국립국악원)
성동01,성동01(옥수역~신당역)
성동02,성동02(마장동현대아파트~논골입구)
성동03-1,성동03-1(신금호역~성동구도시관리공단)
성동03-2,성동03-2(왕십리KCC스위첸아파트~한양대학교)
성동05,성동05(응봉근린공원~약수역)
성동08,성동08(금호역~성동구도시관리공단)
성동09,성동09(극동아파트5동~옥수역)
성동10,성동10(경동초등학교~송정동서울숲아이파크아파트)
성동12,성동12(서울중구청소년센터~옥수역)
성동13,성동13(옥수역~성수역)
성동14,성동14(응봉역~왕십리역)
성동15,성동15(대우아파트~두산아파트)
성북01,성북01(성북구민회관~삼선동주민센터)
성북02,성북02(한성대학교~우리옛돌박물관)
성북03,성북03(삼선푸르지오아파트~북정경로당)
성북04,성북04(성신여대입구역~신설동역)
성북05,성북05(정릉2동주민센터~정수빌라)
성북06,성북06(산림초소~길음역)
성북07,성북07(정릉4동종점~길음역)
성북08,성북08(신안아파트~길음역)
성북09,성북09(신안아파트~미아사거리역)
성북10,성북10(장위중학교~미아사거리역)
성북10-1,성북10-1(장위중학교~미아사거리역)
성북10-2,성북10-2(우남아파트~미아사거리역)
성북12,성북12(월곡중학교~성북레포츠타운)
성북13,성북13(동방주택~석계역)
성북14-1,성북14-1(북서울꿈의숲~석계역)
성북14-2,성북14-2(래미안장위퍼스트하이아파트~석계역)
성북15,성북15(고려아파트~한미약국)
성북20,성북20(고려대역~돈암시장)
성북21,성북21(고려대역~길음역)
성북22,성북22(세계문화유산정릉~삼선동주민센터)
송파01,송파01(송파호반베르디움더퍼스트~석촌역)
송파02,송파02(송파파인타운1단지~수서역)
송파03,송파03(수서역~석촌고분역)
양천01,양천01(등촌역~당산역)
양천02,양천02(등촌역~오목교역)
양천03,양천03(신정이펜하우스1단지~목동역)
양천04,양천04(신도림동아3차아파트~양천구청역)
영등포01,영등포01(신도림역~구로디지털단지역)
영등포02,영등포02(한국수자원연구소~관악고등학교)
영등포03,영등포03(당산현대아파트~영등포역)
영등포04,영등포04(대림역~영등포역)
영등포05,영등포05(당산역~구로세무서)
영등포06,영등포06(대방역~영등포역)
영등포07,영등포07(대방역~대영초중고교)
영등포08,영등포08(영등포푸르지오~신도림역)
영등포09,영등포09(신도림역~영등포역후문)
영등포10,영등포10(대방역~여의도순복음교회)
영등포11,영등포11(대방역~여의도중학교)
영등포12,영등포12(신도림역~당산역)
영등포13,영등포13(대방천사거리~신도림역)
용산01,용산01(순천향병원~크라운호텔)
용산02,용산02(한신아파트~용산경찰서)
용산03,용산03(하얏트호텔~용산전자상가)
용산04,용산04(서울역서부~용문시장)
은평01,은평01(연신내역~석광사)
은평02,은평02(상신초교.두산.한신아파트~불광역)
은평03,은평03(갈현동12번지~연신내역)
은평04,은평04(경향파크아파트~불광역)
은평05,은평05(백련산힐스테이트3차~녹번역)
은평06,은평06(불광동팀수양관~대성중고등학교)
은평07,은평07(한국행정연구원~대조시장.NC백화점)
은평08-1,은평08-1(백련산힐스테이트3차~새절역)
은평08-2,은평08-2(백련산힐스테이트3차~새절역)
은평09,은평09(대림e편한세상아파트1단지~청구성심병원)
은평10,은평10(숭실고등학교~상신초교.산새마을)
종로01,종로01(원서동~종각)
