STATION_CD,STATION_NM,LINE_NUM,요일,상하행,05시~06시,06시~07시,07시~08시,08시~09시,09시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~25시
1805,송내,01호선,토요일,하행,60,180,160,200,200,180,220,220,220,200,200,200,220,200,220,220,180,180,180,20
1805,송내,01호선,휴일/일요일,상행,100,200,200,160,200,180,220,200,220,200,200,220,200,220,220,180,200,200,140,0
1805,송내,01호선,휴일/일요일,하행,60,180,160,200,200,180,220,220,220,200,200,200,220,200,220,220,180,180,180,20
1813,구일,01호선,평일,상행,60,120,140,140,140,140,120,120,120,120,120,160,140,180,120,140,120,120,100,40
1813,구일,01호선,평일,하행,120,140,140,140,180,100,120,120,120,120,140,140,140,120,140,140,120,120,80,0
1813,구일,01호선,토요일,상행,60,100,120,100,100,120,120,120,120,120,140,100,100,140,120,120,120,120,100,40
1813,구일,01호선,토요일,하행,80,100,120,120,120,100,120,120,120,120,120,120,120,100,140,140,120,100,100,0
1813,구일,01호선,휴일/일요일,상행,60,100,120,100,100,120,120,120,120,120,140,100,100,140,120,120,120,120,100,40
1813,구일,01호선,휴일/일요일,하행,80,100,120,120,120,100,120,120,120,120,120,120,120,100,140,140,120,100,100,0
1817,도원,01호선,평일,상행,120,120,160,120,120,140,120,100,120,140,120,140,140,140,120,140,120,100,80,0
1817,도원,01호선,평일,하행,40,140,140,120,120,140,100,120,120,140,100,140,160,120,140,120,140,120,100,60
1817,도원,01호선,토요일,상행,100,120,100,100,120,120,120,100,140,120,120,100,120,140,100,120,140,120,60,0
1817,도원,01호선,토요일,하행,40,80,120,100,120,120,100,120,120,140,120,100,120,120,120,120,140,100,120,60
1817,도원,01호선,휴일/일요일,상행,100,120,100,100,120,120,120,100,140,120,120,100,120,140,100,120,140,120,60,0
1817,도원,01호선,휴일/일요일,하행,40,80,120,100,120,120,100,120,120,140,120,100,120,120,120,120,140,100,120,60
1821,온수,01호선,평일,상행,80,120,140,140,140,120,140,120,120,120,120,160,140,180,120,140,120,120,100,20
1821,온수,01호선,평일,하행,100,140,140,140,180,100,120,120,120,140,120,140,140,140,140,120,120,120,100,0
1821,온수,01호선,토요일,상행,80,100,120,100,100,120,120,120,120,120,120,120,100,120,140,100,120,140,100,20
1821,온수,01호선,토요일,하행,60,120,100,120,120,100,120,120,120,140,100,120,120,120,120,140,120,100,120,0
1821,온수,01호선,휴일/일요일,상행,80,100,120,100,100,120,120,120,120,120,120,120,100,120,140,100,120,140,100,20
1821,온수,01호선,휴일/일요일,하행,60,120,100,120,120,100,120,120,120,140,100,120,120,120,120,140,120,100,120,0
1725,성환,01호선,평일,상행,80,80,80,100,100,100,100,80,100,120,100,100,120,80,100,100,60,80,60,0
1725,성환,01호선,평일,하행,40,80,100,100,100,100,80,100,120,100,100,100,100,100,100,100,100,60,40,20
1725,성환,01호선,토요일,상행,60,40,100,100,100,100,100,80,100,120,80,100,120,80,80,80,60,60,40,0
1725,성환,01호선,토요일,하행,20,80,60,100,100,100,100,80,120,80,120,80,100,120,60,100,60,60,40,20
1725,성환,01호선,휴일/일요일,상행,60,40,100,100,100,100,100,80,100,120,80,100,120,80,80,80,60,60,40,0
1725,성환,01호선,휴일/일요일,하행,20,80,60,100,100,100,100,80,120,80,120,80,100,120,60,100,60,60,40,20
1726,직산,01호선,평일,상행,60,60,60,100,60,60,40,60,80,60,60,60,100,80,60,60,80,60,60,0
1726,직산,01호선,평일,하행,40,60,100,60,60,60,80,60,60,60,80,40,60,60,80,60,60,60,60,20
1726,직산,01호선,토요일,상행,60,60,60,80,80,40,60,80,60,60,40,80,60,60,80,60,60,60,40,0
1726,직산,01호선,토요일,하행,20,60,80,80,60,80,60,60,60,60,80,40,60,60,80,40,80,40,60,20
1726,직산,01호선,휴일/일요일,상행,60,60,60,80,80,40,60,80,60,60,40,80,60,60,80,60,60,60,40,0
1726,직산,01호선,휴일/일요일,하행,20,60,80,80,60,80,60,60,60,60,80,40,60,60,80,40,80,40,60,20
1728,천안,01호선,평일,상행,20,40,60,40,40,60,40,40,40,60,40,20,60,40,40,60,20,60,40,20
1728,천안,01호선,평일,하행,20,80,80,100,120,80,120,80,120,100,80,120,100,100,100,100,80,80,60,20
1728,천안,01호선,토요일,상행,20,40,40,20,40,20,40,40,40,40,40,40,40,40,40,20,40,60,40,20
1728,천안,01호선,토요일,하행,20,60,60,80,120,120,80,100,100,100,100,100,100,100,80,80,60,60,60,20
1728,천안,01호선,휴일/일요일,상행,20,40,40,20,40,20,40,40,40,40,40,40,40,40,40,20,40,60,40,20
1728,천안,01호선,휴일/일요일,하행,20,60,60,80,120,120,80,100,100,100,100,100,100,100,80,80,60,60,60,20
1712,화서,01호선,평일,상행,80,140,180,140,120,100,100,100,100,100,120,120,100,160,120,120,120,100,100,0
1712,화서,01호선,평일,하행,40,140,140,140,100,120,140,100,120,100,100,100,100,120,120,140,120,120,100,20
1712,화서,01호선,토요일,상행,80,120,180,120,120,120,100,80,120,100,100,120,80,120,120,120,120,100,100,0
1712,화서,01호선,토요일,하행,40,140,140,140,100,100,120,80,120,100,80,120,120,120,100,100,120,120,120,40
1712,화서,01호선,휴일/일요일,상행,80,120,180,120,120,120,100,80,120,100,100,120,80,120,120,120,120,100,100,0
1712,화서,01호선,휴일/일요일,하행,40,140,140,140,100,100,120,80,120,100,80,120,120,120,100,100,120,120,120,40
1713,수원,01호선,평일,상행,100,160,180,180,140,140,140,140,120,140,160,160,140,160,160,140,140,120,80,0
1713,수원,01호선,평일,하행,40,120,180,180,160,120,160,160,160,140,140,120,140,180,140,180,120,140,100,20
1713,수원,01호선,토요일,상행,100,120,160,140,140,180,140,140,120,140,160,140,120,140,160,140,120,100,80,0
1713,수원,01호선,토요일,하행,40,120,140,180,140,140,120,140,160,140,120,140,180,120,140,120,100,140,120,40
1713,수원,01호선,휴일/일요일,상행,100,120,160,140,140,180,140,140,120,140,160,140,120,140,160,140,120,100,80,0
1713,수원,01호선,휴일/일요일,하행,40,120,140,180,140,140,120,140,160,140,120,140,180,120,140,120,100,140,120,40
1714,독산,01호선,평일,상행,40,140,180,160,160,120,140,100,140,120,140,140,120,160,160,140,120,160,140,40
1714,독산,01호선,평일,하행,120,160,160,160,140,140,140,160,120,100,140,100,140,140,160,140,140,160,60,0
1714,독산,01호선,토요일,상행,40,120,160,160,140,160,140,100,140,120,140,120,120,100,160,140,140,160,120,40
1714,독산,01호선,토요일,하행,120,160,180,120,140,120,120,160,120,100,140,120,140,140,120,120,140,180,80,0
1714,독산,01호선,휴일/일요일,상행,40,120,160,160,140,160,140,100,140,120,140,120,120,100,160,140,140,160,120,40
1714,독산,01호선,휴일/일요일,하행,120,160,180,120,140,120,120,160,120,100,140,120,140,140,120,120,140,180,80,0
1715,세류,01호선,평일,상행,100,140,180,140,100,120,100,80,100,120,120,100,120,160,120,100,120,120,80,0
1715,세류,01호선,평일,하행,20,140,140,140,120,100,140,120,100,120,80,100,100,120,140,140,100,140,80,40
1715,세류,01호선,토요일,상행,100,140,160,120,120,120,100,80,100,120,100,100,100,120,120,120,120,100,80,0
1715,세류,01호선,토요일,하행,20,140,140,140,100,120,100,100,100,120,80,100,120,120,120,100,100,120,140,40
1715,세류,01호선,휴일/일요일,상행,100,140,160,120,120,120,100,80,100,120,100,100,100,120,120,120,120,100,80,0
1715,세류,01호선,휴일/일요일,하행,20,140,140,140,100,120,100,100,100,120,80,100,120,120,120,100,100,120,140,40
1718,오산대,01호선,평일,상행,20,60,60,80,80,60,60,40,60,80,80,40,80,100,60,60,80,60,60,40
1718,오산대,01호선,평일,하행,80,80,60,80,60,60,80,60,60,60,60,60,60,60,80,60,60,60,40,0
1718,오산대,01호선,토요일,상행,20,60,80,60,80,60,60,40,60,80,60,40,80,80,60,60,80,40,60,20
1718,오산대,01호선,토요일,하행,60,80,60,80,60,80,60,60,60,60,60,60,60,60,60,60,60,60,40,0
1718,오산대,01호선,휴일/일요일,상행,20,60,80,60,80,60,60,40,60,80,60,40,80,80,60,60,80,40,60,20
1718,오산대,01호선,휴일/일요일,하행,60,80,60,80,60,80,60,60,60,60,60,60,60,60,60,60,60,60,40,0
1721,송탄,01호선,평일,상행,40,60,60,80,80,60,60,40,80,60,80,40,100,60,80,60,60,80,60,20
1721,송탄,01호선,평일,하행,60,80,80,60,60,80,80,60,40,60,80,40,60,60,80,80,60,40,60,0
