,USE_MON,LINE_NUM,SUB_STA_NM,FOUR_RIDE_NUM,FOUR_ALIGHT_NUM,FIVE_RIDE_NUM,FIVE_ALIGHT_NUM,SIX_RIDE_NUM,SIX_ALIGHT_NUM,SEVEN_RIDE_NUM,SEVEN_ALIGHT_NUM,EIGHT_RIDE_NUM,EIGHT_ALIGHT_NUM,NINE_RIDE_NUM,NINE_ALIGHT_NUM,TEN_RIDE_NUM,TEN_ALIGHT_NUM,ELEVEN_RIDE_NUM,ELEVEN_ALIGHT_NUM,TWELVE_RIDE_NUM,TWELVE_ALIGHT_NUM,THIRTEEN_RIDE_NUM,THIRTEEN_ALIGHT_NUM,FOURTEEN_RIDE_NUM,FOURTEEN_ALIGHT_NUM,FIFTEEN_RIDE_NUM,FIFTEEN_ALIGHT_NUM,SIXTEEN_RIDE_NUM,SIXTEEN_ALIGHT_NUM,SEVENTEEN_RIDE_NUM,SEVENTEEN_ALIGHT_NUM,EIGHTEEN_RIDE_NUM,EIGHTEEN_ALIGHT_NUM,NINETEEN_RIDE_NUM,NINETEEN_ALIGHT_NUM,TWENTY_RIDE_NUM,TWENTY_ALIGHT_NUM,TWENTY_ONE_RIDE_NUM,TWENTY_ONE_ALIGHT_NUM,TWENTY_TWO_RIDE_NUM,TWENTY_TWO_ALIGHT_NUM,TWENTY_THREE_RIDE_NUM,TWENTY_THREE_ALIGHT_NUM,MIDNIGHT_RIDE_NUM,MIDNIGHT_ALIGHT_NUM,ONE_RIDE_NUM,ONE_ALIGHT_NUM,TWO_RIDE_NUM,TWO_ALIGHT_NUM,THREE_RIDE_NUM,THREE_ALIGHT_NUM
20,202307,2호선,성수,98.0,0.0,5720.0,3894.0,9478.0,31426.0,22647.0,74862.0,31551.0,259382.0,23602.0,153257.0,21067.0,73658.0,25081.0,61231.0,32412.0,64810.0,40428.0,68072.0,47676.0,65286.0,60326.0,63358.0,76044.0,63989.0,132633.0,68127.0,246887.0,74904.0,118245.0,44294.0,86096.0,22043.0,73656.0,17544.0,52556.0,15309.0,21722.0,11721.0,3102.0,5951.0,4.0,853.0,0.0,1.0,0.0,0.0
21,202307,6호선,버티고개,1.0,0.0,759.0,453.0,1948.0,1305.0,4904.0,2475.0,7361.0,5094.0,4556.0,3423.0,3652.0,2527.0,3120.0,2239.0,3272.0,2503.0,2927.0,2973.0,3038.0,2948.0,3258.0,3496.0,3509.0,4201.0,4586.0,4744.0,5953.0,6846.0,2992.0,5152.0,2036.0,3402.0,1508.0,3348.0,1358.0,3114.0,572.0,2025.0,128.0,555.0,0.0,40.0,0.0,0.0,0.0,0.0
22,202307,2호선,건대입구,290.0,1.0,16965.0,1813.0,22074.0,15573.0,53127.0,24771.0,91248.0,59867.0,61438.0,53350.0,38343.0,42061.0,36855.0,47374.0,43047.0,53865.0,47673.0,60015.0,47782.0,58024.0,52319.0,64399.0,61178.0,76144.0,72588.0,103292.0,85337.0,152624.0,64419.0,102725.0,65838.0,64480.0,72636.0,59203.0,74202.0,53956.0,45555.0,32576.0,7559.0,10526.0,3.0,862.0,0.0,0.0,0.0,0.0
23,202307,2호선,구의(광진구청),46.0,1.0,14194.0,1538.0,27198.0,20036.0,68487.0,17041.0,115459.0,40477.0,71488.0,23953.0,37273.0,19384.0,31038.0,20344.0,32393.0,22934.0,31200.0,26286.0,28420.0,28144.0,28837.0,33956.0,38130.0,40780.0,39672.0,56915.0,44544.0,94917.0,23829.0,67091.0,18992.0,45176.0,17461.0,43600.0,15476.0,40799.0,8097.0,23657.0,1306.0,7171.0,1.0,138.0,0.0,0.0,0.0,0.0
24,202307,2호선,강변(동서울터미널),27.0,1.0,8936.0,2251.0,28877.0,21987.0,78164.0,24402.0,117728.0,44028.0,82763.0,38028.0,65667.0,36964.0,57470.0,35717.0,53613.0,40088.0,49768.0,44207.0,43719.0,47595.0,46461.0,55764.0,50364.0,62828.0,56402.0,78744.0,61291.0,109618.0,43557.0,76697.0,32792.0,53334.0,27539.0,45308.0,19267.0,43488.0,7874.0,22661.0,1058.0,5412.0,1.0,39.0,0.0,0.0,0.0,0.0
25,202307,2호선,잠실나루,29.0,0.0,3536.0,2885.0,12947.0,15357.0,38176.0,23483.0,47412.0,39880.0,30724.0,25880.0,24434.0,19618.0,24030.0,17243.0,24123.0,20782.0,22301.0,21403.0,22524.0,19838.0,25054.0,19788.0,33309.0,21473.0,38432.0,27895.0,31243.0,39880.0,15932.0,28947.0,11819.0,18989.0,8740.0,17823.0,6583.0,17825.0,2780.0,9261.0,425.0,2709.0,4.0,30.0,0.0,0.0,0.0,0.0
26,202307,2호선,잠실(송파구청),45.0,3.0,13173.0,5065.0,50309.0,33732.0,120593.0,79372.0,165472.0,184916.0,119197.0,168535.0,81911.0,130115.0,83221.0,128866.0,94018.0,128373.0,104530.0,127268.0,114532.0,125054.0,136746.0,135991.0,166386.0,149065.0,204891.0,182294.0,242364.0,238480.0,162158.0,155440.0,172062.0,103207.0,164686.0,93838.0,105875.0,88815.0,32486.0,46560.0,4477.0,9038.0,1.0,168.0,0.0,0.0,0.0,0.0
27,202307,2호선,잠실새내,43.0,0.0,5947.0,894.0,18406.0,9935.0,57618.0,16608.0,78871.0,29949.0,51161.0,31904.0,34031.0,26149.0,33478.0,28645.0,35572.0,32899.0,34983.0,37078.0,32400.0,38949.0,36804.0,44835.0,40709.0,50969.0,42982.0,64878.0,44752.0,91149.0,32711.0,60216.0,29939.0,38290.0,28681.0,33709.0,28672.0,32624.0,16525.0,17579.0,2531.0,4559.0,0.0,78.0,0.0,0.0,0.0,0.0
28,202307,2호선,종합운동장,7.0,0.0,1640.0,899.0,6618.0,8600.0,17160.0,16289.0,23504.0,26049.0,17119.0,14953.0,13689.0,11118.0,11591.0,10634.0,13092.0,14809.0,12363.0,17481.0,15953.0,19714.0,17565.0,34149.0,22321.0,65699.0,19672.0,85095.0,25259.0,62064.0,20088.0,23038.0,32398.0,12111.0,60380.0,12078.0,64567.0,11584.0,19965.0,6541.0,397.0,1698.0,1.0,88.0,0.0,0.0,0.0,0.0
29,202307,2호선,삼성(무역센터),134.0,0.0,4731.0,5235.0,6953.0,43107.0,14095.0,147855.0,19430.0,351273.0,21335.0,257765.0,26053.0,127049.0,39228.0,98278.0,52432.0,91344.0,67624.0,96939.0,85944.0,82148.0,110550.0,71499.0,146792.0,65894.0,246333.0,67304.0,332566.0,67050.0,167097.0,37050.0,134943.0,20154.0,113092.0,16231.0,71095.0,13126.0,19601.0,7367.0,2882.0,4411.0,0.0,1037.0,0.0,0.0,0.0,0.0
